"","V1","V2","V3","V4","V5","V6","V7"
"1",0.69612664484644,0.137248636213131,0.078701802390744,0.403313812089385,0.341720382759542,0.677990365862614,0.658637674363369
"2",0.213729475300914,0.0533091842051363,0.998306173494396,0.204237225087398,0.688354917586393,0.872860937967935,0.751697999322593
"3",0.289980743259191,0.540798587066432,0.254157908646623,0.513577740334052,0.333929772677637,0.356539153761153,0.482792310667535
"4",0.331381163685544,0.292546437452198,0.499240480739779,0.102996760881428,0.691437828573942,0.986445954975323,0.218584948911293
"5",0.0510117109065177,0.392904657189113,0.489237659855552,0.900994810846363,0.188556336163504,0.893314806211041,0.045894594731469
"6",0.493056167436686,0.613703713703474,0.254916455938364,0.247896247327677,0.600347354495743,0.0203174905302003,0.146916525470947
"7",0.0298527721584542,0.996328340396945,0.573960834752031,0.27143484547222,0.653908027601234,0.784686374143038,0.976728730726948
"8",0.525634175601454,0.276210106100033,0.133778184880619,0.670222038489107,0.600599310455262,0.76810428510583,0.582711428369745
"9",0.129388985738702,0.675020004546386,0.333044482779767,0.240808074306774,0.657926889458865,0.599869394283897,0.453823271910155
"10",0.935770272693092,0.800290909121318,0.191665059815743,0.955121037628308,0.336065134860342,0.521333225721804,0.394485172967271
"11",0.501380783900929,0.643022790167287,0.742989958711589,0.208511820900448,0.805750799278767,0.567524041600603,0.654004405721401
"12",0.0690610544006728,0.598437168811138,0.880611115653107,0.0571623581634679,0.554513416369407,0.510946410356943,0.108317474234422
"13",0.401060068559134,0.637752889782229,0.877999484367397,0.904378424086724,0.721761583014042,0.441682960570014,0.671638813269247
"14",0.808285849102656,0.667671969077666,0.452919968342797,0.181683120683301,0.252218275729295,0.793109673753109,0.760799755885227
"15",0.652210329732392,0.0637484498547468,0.793149116801292,0.719210018377635,0.817142149636328,0.157896558413398,0.820078576130288
"16",0.993189942663574,0.246147396746945,0.206714753981912,0.0748081082385033,0.283928461597456,0.599069712313358,0.0695909826586333
"17",0.15715491352176,0.381615409259995,0.969374249722459,0.524374850583418,0.362701939179135,0.737962243454453,0.508185220678415
"18",0.0809001486169097,0.884436788826482,0.0588386096300092,0.509726789053219,0.410721946899508,0.951552567782113,0.192856222608204
"19",0.619846286261959,0.489876455618301,0.330482034602668,0.757814022837051,0.44257588669355,0.969871380522459,0.96103181287786
