"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.104168355081696,0.48484073649211,0.694754863269317,0.0627650918065338,0.150426972141528,0.633644940103831,0.875132965911878,0.0648689605580876,0.322707892743095
"2",0.0937634560836401,0.514357548376778,0.382480310550891,0.224767538100908,0.577692545612498,0.64868518965311,0.556763070047135,0.376024382958693,0.64638856770754
"3",0.858157546632652,0.0074641234006267,0.686176152106258,0.878148191176238,0.499595784870326,0.448821293563931,0.796307498339098,0.363763283102734,0.301026590394749
"4",0.666294551271712,0.351919794952536,0.910993308462397,0.737707106806454,0.876275753768239,0.630521683305269,0.496892983026259,0.790511626414101,0.158487780669898
"5",0.398230113908454,0.395819420619635,0.050761350477968,0.319579959887196,0.769612160224739,0.572462189702434,0.733874551553745,0.0354278773731009,0.344154086466452
"6",0.629970707995429,0.451890440743572,0.0611231402594519,0.371799294567318,0.696276767917521,0.21713569778072,0.288245582631518,0.658379959540791,0.833304039962202
"7",0.140287268906327,0.182198797218773,0.563696721199007,0.707882007287854,0.98208276424945,0.767774344958753,0.025288709657616,0.769802471069735,0.589692260276604
"8",0.288590266497728,0.424811225741985,0.533565026157885,0.980694980888084,0.694153909037161,0.909374771996634,0.149191448092073,0.36215132977538,0.710504520050754
"9",0.213192737754085,0.375396218922222,0.502487675921332,0.203141437006726,0.0490410115526368,0.609318288142094,0.926054543367509,0.203364687245339,0.648436209036658
"10",0.656813510783909,0.42526009654863,0.186896694611448,0.206942260385569,0.827306205053736,0.987567403243777,0.101863159187759,0.725427328383938,0.522275682863818
"11",0.563381341347898,0.412373931534899,0.513456091183393,0.436177084735129,0.909213279091016,0.275990338722942,0.822119954321301,0.00432695569602462,0.824068637138465
"12",0.219732135901111,0.514297234163658,0.614434144876626,0.13751923072408,0.828490130302884,0.825698381743937,0.551000658965243,0.197293751670358,0.400537903095013
"13",0.377934402066555,0.732781560046094,0.892909342884629,0.930355459825563,0.424587549620618,0.962632787536907,0.574813953617122,0.147388099694236,0.26129769914508
"14",0.172302261630888,0.386027039022573,0.189683790938075,0.345204820381943,0.00119111346189554,0.248491236738705,0.687727600031532,0.767386529709406,0.938421722078191
"15",0.417268632501985,0.320249229416833,0.766064463348943,0.973732367402796,0.902000965373668,0.553964947287886,0.759787506811127,0.518913539147975,0.341767848180335
"16",0.689916131174735,0.0284947424636145,0.798728725912127,0.21733326792717,0.186143475943633,0.709870237154149,0.201456069696462,0.106351139393363,0.749959413067748
"17",0.914086533912263,0.716814539558409,0.217903433194268,0.676487716619158,0.166262924051417,0.696621640748112,0.225654988468081,0.177240045294709,0.400428425470483
"18",0.777359846222292,0.819888231105598,0.935644200309102,0.703876264212575,0.34300555862952,0.930649966711605,0.667251065045983,0.0261152769711722,0.955197176179499
"19",0.984032762985366,0.981678193595338,0.231914130360703,0.295564952201288,0.046167713680615,0.889844695360283,0.216684297147285,0.602419046419207,0.0559869867703334
"20",0.26309056087366,0.851742568490639,0.144720881613864,0.183767218519623,0.110871310152152,0.010241458626464,0.249671668786788,0.0790161751468356,0.868171718276766
"21",0.527642215431939,0.839865693670348,0.288576345671046,0.37636119648333,0.519288837004492,0.827806056941239,0.243098978617073,0.206961489508821,0.877376274659997
"22",0.212375632490031,0.582278922387826,0.00283205066093554,0.831318902584414,0.364680499062641,0.938308663902571,0.0087886066903205,0.224410559414381,0.56264852471572
"23",0.36545935255355,0.772518749871408,0.58551928166855,0.968929738628678,0.117354946355607,0.337353540348704,0.107074465174888,0.255974946437947,0.948058535018936
"24",0.138032318760641,0.227981499965885,0.942280158970427,0.238971269523725,0.252939061328303,0.128846294359692,0.405245456020503,0.786109845367377,0.521769144205726
